source,metric,occ_level,stem_group,stem_class,occ_code_raw,geo_country,geo_region,period,value,unit,snapshot,country,region,company,title,created
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Uttarakhand, India",2026-07,62,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Assam, India",2026-07,48,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Goa, India",2026-07,40,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Bihar, India",2026-07,39,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Jharkhand, India",2026-07,27,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Puducherry, India",2026-07,18,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Dadra and Nagar Haveli, India",2026-07,12,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Jammu and Kashmir, India",2026-07,11,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Himachal Pradesh, India",2026-07,4,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Meghalaya, India",2026-07,4,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Nagaland, India",2026-07,3,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Daman and Diu, India",2026-07,2,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ICT,core,ADZUNA:it-jobs,IN,"Manipur, India",2026-07,1,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Karnataka, India",2026-07,4005,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Maharashtra, India",2026-07,2755,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Gujarat, India",2026-07,1430,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Tamil Nadu, India",2026-07,1083,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Uttar Pradesh, India",2026-07,771,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Telangana, India",2026-07,752,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Haryana, India",2026-07,494,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Chhattisgarh, India",2026-07,394,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Delhi, India",2026-07,261,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"West Bengal, India",2026-07,192,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Kerala, India",2026-07,126,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Madhya Pradesh, India",2026-07,124,count,2026-07-10T22:47:28.528198+00:00,,,,,
adzuna,postings,occupation,ENG,core,ADZUNA:engineering-jobs,IN,"Rajasthan, India",2026-07,123,count,2026-07-10T22:47:28.528198+00:00,,,,,
